1,1,4
1,22,3
1,21,1
1,20,5
1,19,3
1,49,2
1,18,4
1,17,5
1,16,5
1,15,4
1,14,4
1,13,4
1,12,4
1,11,3
1,10,5
1,50,5
1,9,3
1,8,4
1,7,2
1,6,5
1,5,5
1,4,5
1,23,2
1,3,4
1,24,3
1,26,4
1,45,3
1,44,4
1,43,5
1,42,4
1,41,5
1,40,4
1,39,3
1,38,5
1,37,3
1,47,4
1,36,3
1,35,5
1,34,5
1,33,3
1,32,1
1,31,4
1,30,5
1,29,5
1,28,4
1,48,4
1,27,1
1,25,3
1,2,3
1,46,5
2,5,3
2,45,2
2,4,5
2,9,2
2,39,2
2,31,2
2,17,3
2,22,5
2,49,2
2,8,5
2,1,3
2,23,4
2,28,4
2,48,4
2,46,3
2,7,2
2,41,2
2,24,4
2,30,3
2,20,5
2,6,4
2,40,3
2,18,3
2,38,3
2,50,1
2,13,4
2,44,2
2,3,4
2,21,3
2,34,5
2,12,3
2,35,4
2,14,4
2,11,4
2,2,3
2,33,3
2,15,5
2,26,4
2,27,4
2,47,4
2,37,5
2,32,2
2,19,3
2,16,4
2,10,5
2,36,3
2,25,1
2,43,3
2,42,4
2,29,5
3,43,2
3,20,5
3,3,5
3,42,5
3,6,4
3,28,2
3,38,2
3,34,2
3,17,4
3,26,2
3,14,4
3,2,3
3,21,3
3,1,3
3,18,3
3,11,2
3,31,5
3,9,4
3,41,3
3,46,5
3,39,3
3,7,2
3,12,5
3,44,3
3,35,5
3,47,5
3,30,4
3,33,3
3,4,3
3,48,1
3,45,3
3,24,5
3,22,5
3,37,5
3,8,5
3,29,5
3,25,2
3,5,3
3,49,2
3,27,3
3,23,5
3,36,4
3,13,4
3,19,1
3,16,5
3,10,4
3,15,3
3,50,3
3,40,3
3,32,2
4,31,4
4,42,4
4,29,5
4,27,2
4,33,3
4,48,5
4,44,3
4,4,4
4,45,3
4,32,4
4,30,3
4,15,5
4,24,3
4,39,4
4,35,5
4,12,4
4,7,2
4,49,3
4,16,3
4,23,3
4,46,3
4,41,3
4,9,4
4,10,4
4,47,3
4,11,4
4,19,3
4,38,3
4,17,4
4,28,4
4,43,3
4,37,5
4,18,5
4,1,3
4,36,3
4,21,3
4,8,5
4,25,2
4,2,3
4,13,5
4,40,4
4,3,5
4,14,3
4,50,4
4,20,5
4,22,4
4,26,5
4,34,5
4,6,2
4,5,4
5,36,5
5,21,4
5,40,5
5,41,5
5,46,4
5,1,3
5,39,1
5,47,5
5,7,3
5,17,4
5,5,5
5,28,3
5,42,3
5,48,3
5,8,5
5,3,2
5,31,3
5,27,3
5,44,5
5,26,4
5,29,5
5,22,4
5,49,4
5,30,4
5,45,4
5,11,2
5,20,4
5,6,3
5,38,5
5,13,3
5,10,5
5,2,2
5,18,5
5,14,1
5,32,2
5,25,2
5,15,5
5,50,3
5,34,3
5,19,3
5,16,3
5,33,3
5,4,4
5,43,1
5,37,3
5,9,5
5,23,5
5,12,3
5,24,3
5,35,4
6,22,5
6,14,3
6,42,4
6,21,2
6,35,3
6,40,4
6,32,1
6,18,4
6,24,4
6,10,5
6,2,3
6,15,3
6,25,2
6,17,5
6,49,1
6,41,1
6,8,4
6,50,4
6,27,3
6,37,4
6,34,3
6,19,2
6,47,4
6,9,4
6,29,5
6,16,4
6,1,3
6,7,2
6,23,3
6,33,4
6,13,3
6,20,4
6,36,2
6,39,3
6,5,3
6,26,3
6,48,5
6,31,5
6,38,3
6,6,4
6,3,3
6,44,3
6,45,4
6,46,5
6,4,4
6,43,3
6,28,5
6,12,4
6,11,2
6,30,5
7,45,4
7,10,5
7,31,3
7,16,4
7,12,5
7,4,3
7,35,5
7,19,4
7,22,5
7,50,2
7,46,2
7,39,3
7,32,2
7,14,3
7,21,4
7,38,3
7,2,2
7,37,4
7,5,3
7,11,4
7,29,5
7,43,3
7,33,5
7,17,5
7,9,4
7,27,1
7,40,3
7,6,4
7,20,5
7,49,2
7,36,5
7,3,4
7,13,4
7,24,4
7,26,4
7,48,1
7,23,3
7,44,2
7,42,1
7,7,2
7,28,3
7,18,3
7,30,3
7,47,4
7,1,4
7,15,4
7,25,2
7,41,3
7,8,3
7,34,1
8,2,1
8,42,1
8,41,3
8,24,4
8,37,5
8,9,5
8,44,3
8,1,3
8,19,4
8,34,3
8,16,2
8,7,4
8,39,5
8,23,3
8,50,5
8,25,2
8,11,5
8,18,4
8,43,3
8,36,5
